frame;t;x;y;Feeder
0;0;0;0,002;OUT
1;0,033;0;0,002;OUT
2;0,067;0,001;0,002;OUT
3;0,1;0,002;0,002;OUT
4;0,133;0,002;0,002;OUT
5;0,167;0,002;0,002;OUT
6;0,2;0,002;0,002;OUT
7;0,234;0,002;0,002;OUT
8;0,267;0,001;0,002;OUT
9;0,3;0,001;0,002;OUT
10;0,334;0,001;0,002;OUT
11;0,367;0,001;0,002;OUT
12;0,4;0,001;0,002;OUT
13;0,434;0,001;0,001;OUT
14;0,467;0;0,001;OUT
15;0,501;0;0,001;OUT
16;0,534;0,001;0;OUT
17;0,567;0,001;0;OUT
18;0,601;0,001;0;OUT
19;0,634;0,001;0;OUT
20;0,667;-0,001;0;OUT
21;0,701;-0,003;0,001;OUT
22;0,734;-0,004;0,002;OUT
23;0,767;-0,004;0,002;OUT
24;0,801;-0,004;0,003;OUT
25;0,834;-0,004;0,003;OUT
26;0,868;-0,004;0,003;OUT
27;0,901;-0,004;0,003;OUT
28;0,934;-0,004;0,003;OUT
29;0,968;-0,004;0,003;OUT
30;1,001;-0,003;0,003;OUT
31;1,034;-0,003;0,003;OUT
32;1,068;-0,003;0,003;OUT
33;1,101;-0,002;0,003;OUT
34;1,134;0,001;0,001;OUT
35;1,168;0,002;0,001;OUT
36;1,201;0,001;0,001;OUT
37;1,235;0,001;0,001;A
38;1,268;0,002;0,001;A
39;1,301;0,002;0,001;A
40;1,335;0,002;0,001;A
41;1,368;0,002;0;A
42;1,401;0,002;0;A
43;1,435;0,002;0;A
44;1,468;0,002;0;A
45;1,502;0,002;0;A
46;1,535;0,002;0,001;A
47;1,568;0,002;0,001;A
48;1,602;0,002;0,001;A
49;1,635;0,002;0,001;A
50;1,668;0,002;0,001;A
51;1,702;0,001;0,001;A
52;1,735;0,001;0,001;A
53;1,768;0,001;0,001;A
54;1,802;0,001;0,001;A
55;1,835;0,001;0,001;A
56;1,869;0,001;0,001;A
57;1,902;0,001;0,001;A
58;1,935;0,001;0,001;A
59;1,969;0,001;0,001;A
60;2,002;0,002;0,001;A
61;2,035;0,002;0,001;A
62;2,069;0,002;0,001;A
63;2,102;0,002;0,001;A
64;2,135;0,002;0,001;A
65;2,169;0,002;0,001;A
66;2,202;0,002;0,001;A
67;2,236;0,002;0,001;A
68;2,269;0,002;0,001;A
69;2,302;0,002;0,001;A
70;2,336;0,002;0,001;A
71;2,369;0,002;0,001;A
72;2,402;0,002;0,001;A
73;2,436;0,002;0,001;A
74;2,469;0,002;0,002;A
75;2,503;0,002;0,002;A
76;2,536;0,002;0,002;A
77;2,569;0,001;0,002;A
78;2,603;0,001;0,002;A
79;2,636;0,001;0,002;A
80;2,669;0,001;0,002;A
81;2,703;0;0,003;A
82;2,736;-0,003;0,004;OUT
83;2,769;-0,003;0,004;OUT
84;2,803;-0,004;0,005;OUT
85;2,836;-0,005;0,006;OUT
86;2,87;-0,005;0,005;OUT
87;2,903;-0,005;0,005;OUT
88;2,936;-0,005;0,005;OUT
89;2,97;-0,005;0,005;OUT
90;3,003;-0,004;0,006;OUT
91;3,036;-0,004;0,006;OUT
92;3,07;-0,004;0,005;OUT
93;3,103;-0,004;0,005;OUT
94;3,136;-0,004;0,005;OUT
95;3,17;0;0,004;OUT
96;3,203;0;0,003;OUT
97;3,237;0,001;0,001;OUT
98;3,27;0,002;0,001;OUT
99;3,303;0,002;0,001;OUT
100;3,337;0,002;0,001;A
101;3,37;0,002;0,001;A
102;3,403;0,002;0,001;A
103;3,437;0,002;0,001;A
104;3,47;0,002;0,001;A
105;3,504;0,002;0,001;A
106;3,537;0,002;0,001;A
107;3,57;0,004;-0,002;A
108;3,604;0,002;0,001;A
109;3,637;0,002;0,001;A
110;3,67;0,002;0,001;A
111;3,704;0,002;0,001;A
112;3,737;0,002;0,001;A
113;3,77;0,002;0,001;A
114;3,804;0,002;0,001;A
115;3,837;0,002;0,001;A
116;3,871;0,002;0,001;A
117;3,904;0,002;0,001;A
118;3,937;0,002;0,001;A
119;3,971;0,002;0,001;A
120;4,004;0,002;0,001;A
121;4,037;0,002;0,001;A
122;4,071;0,002;0,001;A
123;4,104;0,001;0,002;A
124;4,137;0,001;0,002;OUT
125;4,171;0;0,003;OUT
126;4,204;-0,003;0,005;OUT
127;4,238;-0,003;0,005;OUT
128;4,271;-0,004;0,005;OUT
129;4,304;-0,003;0,005;OUT
130;4,338;-0,003;0,005;OUT
131;4,371;-0,004;0,005;OUT
132;4,404;-0,004;0,005;OUT
133;4,438;-0,004;0,005;OUT
134;4,471;-0,004;0,005;OUT
135;4,505;-0,004;0,005;OUT
136;4,538;-0,004;0,005;OUT
137;4,571;-0,004;0,005;OUT
138;4,605;-0,003;0,005;OUT
139;4,638;-0,003;0,005;OUT
140;4,671;-0,002;0,005;OUT
141;4,705;-0,001;0,003;OUT
142;4,738;0;0,002;OUT
143;4,771;0;0,002;OUT
144;4,805;0;0,003;OUT
145;4,838;-0,001;0,003;OUT
146;4,872;-0,001;0,003;OUT
147;4,905;-0,001;0,003;OUT
148;4,938;-0,001;0,003;OUT
149;4,972;0;0,003;OUT
150;5,005;0;0,003;OUT
151;5,038;0;0,003;OUT
152;5,072;0;0,003;OUT
153;5,105;0;0,003;OUT
154;5,138;0;0,003;OUT
155;5,172;0;0,003;OUT
156;5,205;0;0,003;OUT
157;5,239;0;0,001;OUT
158;5,272;0;0,001;OUT
159;5,305;-0,001;0,001;OUT
160;5,339;-0,001;0,001;OUT
161;5,372;-0,001;0,001;OUT
162;5,405;-0,001;0;OUT
163;5,439;-0,001;0;OUT
164;5,472;-0,001;0;OUT
165;5,506;0;0;OUT
166;5,539;0;0;OUT
167;5,572;0;0;A
168;5,606;0;0;A
169;5,639;0;0;A
170;5,672;0;0;A
171;5,706;0;0;A
172;5,739;0;0;A
173;5,772;0;0;A
174;5,806;0;0;A
175;5,839;0;0;A
176;5,873;0;0;A
177;5,906;0;0;A
178;5,939;0;0,001;A
179;5,973;0;0,001;A
180;6,006;0;0,001;A
181;6,039;0;0,001;A
182;6,073;0;0,001;A
183;6,106;0;0,001;A
184;6,139;0;0,001;A
185;6,173;0;0,001;A
186;6,206;0;0,001;A
187;6,24;0;0,001;A
188;6,273;-0,009;0;A
190;6,34;0;0;A
191;6,373;0;0;A
192;6,406;0;0;A
193;6,44;0;0;A
194;6,473;0;0;A
195;6,507;0;0;A
196;6,54;0;0;A
197;6,573;0;0;A
198;6,607;0;0;A
199;6,64;0;0;A
200;6,673;0;0;A
201;6,707;0;0;A
202;6,74;0;0;A
203;6,773;0;0;A
204;6,807;0;0,001;A
205;6,84;0;0,001;A
206;6,874;0;0,001;A
207;6,907;0;0,001;A
208;6,94;0;0,001;A
209;6,974;0;0,001;A
210;7,007;0;0,001;A
211;7,04;0;0,001;A
212;7,074;0;0,001;A
213;7,107;0;0,001;A
214;7,14;0;0,001;A
215;7,174;0;0,001;A
216;7,207;0;0,001;A
217;7,241;0;0,001;A
218;7,274;0;0,001;A
219;7,307;0;0,001;A
220;7,341;-0,001;0,001;A
221;7,374;-0,002;0,002;OUT
222;7,407;-0,003;0,003;OUT
223;7,441;-0,004;0,003;OUT
224;7,474;-0,007;0,003;OUT
225;7,508;-0,007;0,003;OUT
226;7,541;-0,007;0,003;OUT
227;7,574;-0,007;0,004;OUT
228;7,608;-0,008;0,003;OUT
229;7,641;-0,008;0,003;OUT
230;7,674;-0,008;0,004;OUT
231;7,708;-0,008;0,003;OUT
232;7,741;-0,008;0,003;OUT
233;7,774;-0,007;0,003;OUT
234;7,808;-0,004;0,003;OUT
235;7,841;-0,004;0,002;OUT
236;7,875;-0,001;0,002;OUT
237;7,908;0,001;0;OUT
238;7,941;0,001;0;OUT
239;7,975;0,001;0,001;A
240;8,008;0,001;0,001;A
241;8,041;0,001;0,001;A
242;8,075;0,001;0,001;A
243;8,108;0,001;0,001;A
244;8,141;0,001;0,001;A
245;8,175;0,001;0,001;A
246;8,208;0,001;0,001;A
247;8,242;0,001;0,001;A
248;8,275;0,001;0,001;A
249;8,308;0,001;0,001;A
250;8,342;0,001;0,001;A
251;8,375;0,001;0,001;A
252;8,408;0,001;0,001;A
253;8,442;0,001;0,001;A
254;8,475;0,003;-0,001;A
255;8,509;0;0;A
256;8,542;0;0;A
257;8,575;0;0;A
258;8,609;0;0;A
259;8,642;0;0;A
260;8,675;0;0,001;A
261;8,709;0;0,001;A
262;8,742;0;0,001;A
263;8,775;0;0,001;A
