t;x;y;frame;Feeder;Comments
0,000000000E0;1,611668840E1;-8,050405330E-1;0,000000000E0;C;
3,336670003E-2;1,602478609E1;-4,174263355E-1;1,000000000E0;C;
6,673340007E-2;1,602478609E1;-4,174263355E-1;2,000000000E0;C;
1,001001001E-1;1,602478609E1;-4,174263355E-1;3,000000000E0;C;
1,334668001E-1;1,602478609E1;-4,174263355E-1;4,000000000E0;C;
1,668335002E-1;1,602478609E1;-4,174263355E-1;5,000000000E0;C;
2,002002002E-1;1,602478609E1;-4,174263355E-1;6,000000000E0;C;
2,335669002E-1;1,596204884E1;-4,118309723E-1;7,000000000E0;C;
2,669336003E-1;1,591050232E1;-2,807611187E-1;8,000000000E0;C;
3,003003003E-1;1,591050232E1;-2,807611187E-1;9,000000000E0;C;
3,336670003E-1;1,591050232E1;-2,807611187E-1;1,000000000E1;C;
3,670337004E-1;1,591050232E1;-2,807611187E-1;1,100000000E1;C;
4,004004004E-1;1,584776508E1;-2,751657555E-1;1,200000000E1;C;
4,337671004E-1;1,584216971E1;-3,379030007E-1;1,300000000E1;C;
4,671338005E-1;1,584216971E1;-3,379030007E-1;1,400000000E1;C;
5,005005005E-1;1,584216971E1;-3,379030007E-1;1,500000000E1;C;
5,338672005E-1;1,603038145E1;-3,546890903E-1;1,600000000E1;C;
5,672339006E-1;1,603038145E1;-3,546890903E-1;1,700000000E1;C;
6,006006006E-1;1,602478609E1;-4,174263355E-1;1,800000000E1;C;
6,673340007E-1;1,602478609E1;-4,174263355E-1;2,000000000E1;C;
7,007007007E-1;1,580740929E1;-1,862141153E-2;2,100000000E1;C;
7,340674007E-1;1,580740929E1;-1,862141153E-2;2,200000000E1;C;
7,674341008E-1;1,580740929E1;-1,862141153E-2;2,300000000E1;C;
8,008008008E-1;1,580740929E1;-1,862141153E-2;2,400000000E1;C;
8,341675008E-1;1,576824174E1;-4,577821278E-1;2,500000000E1;C;
8,675342009E-1;1,576824174E1;-4,577821278E-1;2,600000000E1;C;
9,009009009E-1;1,576824174E1;-4,577821278E-1;2,700000000E1;C;
9,342676009E-1;1,576824174E1;-4,577821278E-1;2,800000000E1;C;
9,676343010E-1;1,576824174E1;-4,577821278E-1;2,900000000E1;C;
1,001001001E0;1,576824174E1;-4,577821278E-1;3,000000000E1;C;
1,034367701E0;1,576824174E1;-4,577821278E-1;3,100000000E1;C;
1,067734401E0;1,579062320E1;-2,068331471E-1;3,200000000E1;C;
1,101101101E0;1,579062320E1;-2,068331471E-1;3,300000000E1;C;
1,134467801E0;1,579062320E1;-2,068331471E-1;3,400000000E1;C;
1,167834501E0;1,579062320E1;-2,068331471E-1;3,500000000E1;C;
1,201201201E0;1,572229059E1;-2,639750290E-1;3,600000000E1;C;
1,234567901E0;1,572229059E1;-2,639750290E-1;3,700000000E1;C;
1,267934601E0;1,572229059E1;-2,639750290E-1;3,800000000E1;C;
1,301301301E0;1,572229059E1;-2,639750290E-1;3,900000000E1;C;
1,334668001E0;1,572229059E1;-2,639750290E-1;4,000000000E1;C;
1,368034701E0;1,572229059E1;-2,639750290E-1;4,100000000E1;C;
1,401401401E0;1,613228624E1;7,887626272E-2;4,200000000E1;C;
1,434768101E0;1,613228624E1;7,887626272E-2;4,300000000E1;C;
1,468134801E0;1,613228624E1;7,887626272E-2;4,400000000E1;C;
1,501501502E0;1,613228624E1;7,887626272E-2;4,500000000E1;C;
1,534868202E0;1,613228624E1;7,887626272E-2;4,600000000E1;C;
1,568234902E0;1,613228624E1;7,887626272E-2;4,700000000E1;C;
1,601601602E0;1,611550015E1;-1,093354728E-1;4,800000000E1;C;
1,634968302E0;1,611550015E1;-1,093354728E-1;4,900000000E1;C;
