t;x;y;frame;Feeder;Comments
0,000000000E0;1,701616139E1;1,841001626E0;0,000000000E0;C;
3,336670003E-2;1,701616139E1;1,891612677E0;1,000000000E0;C;
6,673340007E-2;1,701616139E1;1,891612677E0;2,000000000E0;C;
1,001001001E-1;1,701616139E1;1,891612677E0;3,000000000E0;C;
1,334668001E-1;1,701616139E1;1,891612677E0;4,000000000E0;C;
1,668335002E-1;1,701616139E1;1,891612677E0;5,000000000E0;C;
2,002002002E-1;1,701616139E1;1,891612677E0;6,000000000E0;C;
2,335669002E-1;1,701616139E1;1,891612677E0;7,000000000E0;C;
2,669336003E-1;1,701616139E1;1,891612677E0;8,000000000E0;C;
3,003003003E-1;1,701616139E1;1,891612677E0;9,000000000E0;C;
3,336670003E-1;1,701616139E1;1,891612677E0;1,000000000E1;C;
3,670337004E-1;1,701616139E1;1,891612677E0;1,100000000E1;C;
4,004004004E-1;1,701616139E1;1,891612677E0;1,200000000E1;C;
4,337671004E-1;1,701616139E1;1,891612677E0;1,300000000E1;C;
4,671338005E-1;1,701616139E1;1,891612677E0;1,400000000E1;C;
5,005005005E-1;1,701616139E1;1,891612677E0;1,500000000E1;C;
5,338672005E-1;1,701616139E1;1,891612677E0;1,600000000E1;C;
5,672339006E-1;1,701616139E1;1,891612677E0;1,700000000E1;C;
6,006006006E-1;1,701616139E1;1,891612677E0;1,800000000E1;C;
6,339673006E-1;1,701616139E1;1,891612677E0;1,900000000E1;C;
6,673340007E-1;1,701616139E1;1,891612677E0;2,000000000E1;C;
7,007007007E-1;1,701616139E1;1,891612677E0;2,100000000E1;C;
7,340674007E-1;1,701616139E1;1,891612677E0;2,200000000E1;C;
7,674341008E-1;1,701616139E1;1,891612677E0;2,300000000E1;C;
8,008008008E-1;1,701616139E1;1,891612677E0;2,400000000E1;C;
8,341675008E-1;1,701616139E1;1,891612677E0;2,500000000E1;C;
8,675342009E-1;1,701616139E1;1,891612677E0;2,600000000E1;C;
9,009009009E-1;1,701616139E1;1,891612677E0;2,700000000E1;C;
9,342676009E-1;1,701616139E1;1,891612677E0;2,800000000E1;C;
9,676343010E-1;1,701616139E1;1,891612677E0;2,900000000E1;C;
1,001001001E0;1,701616139E1;1,891612677E0;3,000000000E1;C;
1,034367701E0;1,701616139E1;1,891612677E0;3,100000000E1;C;
1,067734401E0;1,701616139E1;1,891612677E0;3,200000000E1;C;
1,101101101E0;1,701616139E1;1,891612677E0;3,300000000E1;C;
1,134467801E0;1,701616139E1;1,891612677E0;3,400000000E1;C;
1,167834501E0;1,701616139E1;1,891612677E0;3,500000000E1;C;
1,201201201E0;1,701616139E1;1,891612677E0;3,600000000E1;C;
1,234567901E0;1,701616139E1;1,891612677E0;3,700000000E1;C;
1,267934601E0;1,701616139E1;1,790390575E0;3,800000000E1;C;
1,301301301E0;1,701616139E1;1,790390575E0;3,900000000E1;C;
1,334668001E0;1,701616139E1;1,790390575E0;4,000000000E1;C;
1,368034701E0;1,701616139E1;1,790390575E0;4,100000000E1;C;
1,401401401E0;1,701616139E1;1,790390575E0;4,200000000E1;C;
1,434768101E0;1,701616139E1;1,790390575E0;4,300000000E1;C;
1,468134801E0;1,701616139E1;1,790390575E0;4,400000000E1;C;
1,501501502E0;1,701616139E1;1,790390575E0;4,500000000E1;C;
1,534868202E0;1,701616139E1;1,790390575E0;4,600000000E1;C;
1,568234902E0;1,701616139E1;1,790390575E0;4,700000000E1;C;
1,601601602E0;1,701616139E1;1,790390575E0;4,800000000E1;C;
1,634968302E0;1,701616139E1;1,790390575E0;4,900000000E1;C;
1,668335002E0;1,701616139E1;1,790390575E0;5,000000000E1;C;
1,701701702E0;1,701616139E1;1,790390575E0;5,100000000E1;C;
1,735068402E0;1,701616139E1;1,790390575E0;5,200000000E1;C;
1,768435102E0;1,701616139E1;1,790390575E0;5,300000000E1;C;
1,801801802E0;1,701616139E1;1,790390575E0;5,400000000E1;C;
1,835168502E0;1,701616139E1;1,790390575E0;5,500000000E1;C;
1,868535202E0;1,701616139E1;1,790390575E0;5,600000000E1;C;
1,901901902E0;1,701616139E1;1,790390575E0;5,700000000E1;C;
1,935268602E0;1,701616139E1;1,790390575E0;5,800000000E1;C;
1,968635302E0;1,701616139E1;1,790390575E0;5,900000000E1;C;
2,002002002E0;1,701616139E1;1,790390575E0;6,000000000E1;C;
2,035368702E0;1,701616139E1;1,790390575E0;6,100000000E1;C;
2,068735402E0;1,701616139E1;1,790390575E0;6,200000000E1;C;
2,102102102E0;1,701616139E1;1,790390575E0;6,300000000E1;C;
2,135468802E0;1,701616139E1;1,790390575E0;6,400000000E1;C;
2,168835502E0;1,701616139E1;1,790390575E0;6,500000000E1;C;
2,202202202E0;1,701616139E1;1,790390575E0;6,600000000E1;C;
2,235568902E0;1,701616139E1;1,790390575E0;6,700000000E1;C;
2,268935602E0;1,701616139E1;1,790390575E0;6,800000000E1;C;
2,302302302E0;1,701616139E1;1,790390575E0;6,900000000E1;C;
2,335669002E0;1,701616139E1;1,790390575E0;7,000000000E1;C;
2,369035702E0;1,701616139E1;1,790390575E0;7,100000000E1;C;
2,402402402E0;1,701616139E1;1,790390575E0;7,200000000E1;C;
2,435769102E0;1,701616139E1;1,790390575E0;7,300000000E1;C;
2,469135802E0;1,701616139E1;1,790390575E0;7,400000000E1;C;
2,502502503E0;1,701616139E1;1,790390575E0;7,500000000E1;C;
2,535869203E0;1,701616139E1;1,790390575E0;7,600000000E1;C;
2,569235903E0;1,701616139E1;1,790390575E0;7,700000000E1;C;
2,602602603E0;1,701616139E1;1,790390575E0;7,800000000E1;C;
2,635969303E0;1,701616139E1;1,790390575E0;7,900000000E1;C;
2,669336003E0;1,701616139E1;1,790390575E0;8,000000000E1;C;
2,702702703E0;1,701616139E1;1,790390575E0;8,100000000E1;C;
2,736069403E0;1,701616139E1;1,790390575E0;8,200000000E1;C;
2,769436103E0;1,701616139E1;1,790390575E0;8,300000000E1;C;
2,802802803E0;1,701616139E1;1,790390575E0;8,400000000E1;C;
2,836169503E0;1,701616139E1;1,790390575E0;8,500000000E1;C;
2,869536203E0;1,701616139E1;1,790390575E0;8,600000000E1;C;
2,902902903E0;1,701616139E1;1,790390575E0;8,700000000E1;C;
2,936269603E0;1,701616139E1;1,790390575E0;8,800000000E1;C;
2,969636303E0;1,701616139E1;1,790390575E0;8,900000000E1;C;
3,003003003E0;1,701616139E1;1,790390575E0;9,000000000E1;C;
3,036369703E0;1,701616139E1;1,790390575E0;9,100000000E1;C;
3,069736403E0;1,701616139E1;1,790390575E0;9,200000000E1;C;
3,103103103E0;1,701616139E1;1,790390575E0;9,300000000E1;C;
3,136469803E0;1,701616139E1;1,790390575E0;9,400000000E1;C;
3,169836503E0;1,671249509E1;2,195278980E0;9,500000000E1;C;
3,203203203E0;1,691493929E1;2,043445828E0;9,600000000E1;C;
3,236569903E0;1,691493929E1;2,043445828E0;9,700000000E1;C;
3,269936603E0;1,691493929E1;2,043445828E0;9,800000000E1;C;
3,303303303E0;1,691493929E1;2,043445828E0;9,900000000E1;C;
3,336670003E0;1,691493929E1;2,043445828E0;1,000000000E2;C;
3,370036703E0;1,691493929E1;2,043445828E0;1,010000000E2;C;
3,403403403E0;1,691493929E1;2,043445828E0;1,020000000E2;C;
3,436770103E0;1,696555034E1;2,752000536E0;1,030000000E2;C;
3,470136803E0;1,757288295E1;3,612388396E0;1,040000000E2;OUT;
3,503503504E0;1,757288295E1;4,827053610E0;1,050000000E2;OUT;
