t;x;y;frame;Feeder;Comments
0,000000000E0;1,729450448E1;2,166918727E0;0,000000000E0;C;
3,336670003E-2;1,729450448E1;2,166918727E0;1,000000000E0;C;
6,673340007E-2;1,729450448E1;2,166918727E0;2,000000000E0;C;
1,001001001E-1;1,729450448E1;2,166918727E0;3,000000000E0;C;
1,334668001E-1;1,729450448E1;2,166918727E0;4,000000000E0;C;
1,668335002E-1;1,729450448E1;2,166918727E0;5,000000000E0;C;
2,002002002E-1;1,729450448E1;2,166918727E0;6,000000000E0;C;
2,335669002E-1;1,729450448E1;2,166918727E0;7,000000000E0;C;
2,669336003E-1;1,729450448E1;2,166918727E0;8,000000000E0;C;
3,003003003E-1;1,729450448E1;2,166918727E0;9,000000000E0;C;
3,336670003E-1;1,723078019E1;2,039470146E0;1,000000000E1;C;
3,670337004E-1;1,723078019E1;2,039470146E0;1,100000000E1;C;
4,004004004E-1;1,723078019E1;2,039470146E0;1,200000000E1;C;
4,337671004E-1;1,723078019E1;2,039470146E0;1,300000000E1;C;
4,671338005E-1;1,723078019E1;2,039470146E0;1,400000000E1;C;
5,005005005E-1;1,713519375E1;1,720848694E0;1,500000000E1;C;
5,338672005E-1;1,716705590E1;1,848297275E0;1,600000000E1;C;
5,672339006E-1;1,716705590E1;1,848297275E0;1,700000000E1;C;
6,006006006E-1;1,716705590E1;1,848297275E0;1,800000000E1;C;
6,339673006E-1;1,716705590E1;1,848297275E0;1,900000000E1;C;
6,673340007E-1;1,719891805E1;1,752710839E0;2,000000000E1;C;
7,007007007E-1;1,719891805E1;1,752710839E0;2,100000000E1;C;
7,340674007E-1;1,719891805E1;1,752710839E0;2,200000000E1;C;
7,674341008E-1;1,719891805E1;1,752710839E0;2,300000000E1;C;
8,008008008E-1;1,719891805E1;1,752710839E0;2,400000000E1;C;
8,341675008E-1;1,719891805E1;1,752710839E0;2,500000000E1;C;
8,675342009E-1;1,719891805E1;1,752710839E0;2,600000000E1;C;
9,009009009E-1;1,719891805E1;1,752710839E0;2,700000000E1;C;
9,342676009E-1;1,719891805E1;1,752710839E0;2,800000000E1;C;
9,676343010E-1;1,719891805E1;1,752710839E0;2,900000000E1;C;
1,001001001E0;1,719891805E1;1,752710839E0;3,000000000E1;C;
1,034367701E0;1,719891805E1;1,752710839E0;3,100000000E1;C;
1,067734401E0;1,723078019E1;1,625262258E0;3,200000000E1;C;
1,101101101E0;1,719891805E1;1,657124403E0;3,300000000E1;C;
1,134467801E0;1,719891805E1;1,657124403E0;3,400000000E1;C;
1,167834501E0;1,719891805E1;1,657124403E0;3,500000000E1;C;
1,201201201E0;1,719891805E1;1,657124403E0;3,600000000E1;C;
1,234567901E0;1,719891805E1;1,657124403E0;3,700000000E1;C;
1,267934601E0;1,719891805E1;1,657124403E0;3,800000000E1;C;
1,301301301E0;1,719891805E1;1,657124403E0;3,900000000E1;C;
1,334668001E0;1,719891805E1;1,657124403E0;4,000000000E1;C;
1,368034701E0;1,719891805E1;1,657124403E0;4,100000000E1;C;
1,401401401E0;1,719891805E1;1,657124403E0;4,200000000E1;C;
1,434768101E0;1,719891805E1;1,657124403E0;4,300000000E1;C;
1,468134801E0;1,719891805E1;1,657124403E0;4,400000000E1;C;
1,501501502E0;1,719891805E1;1,657124403E0;4,500000000E1;C;
1,534868202E0;1,723078019E1;1,688986549E0;4,600000000E1;C;
1,568234902E0;1,723078019E1;1,688986549E0;4,700000000E1;C;
1,601601602E0;1,723078019E1;1,688986549E0;4,800000000E1;C;
1,634968302E0;1,723078019E1;1,688986549E0;4,900000000E1;C;
1,668335002E0;1,723078019E1;1,688986549E0;5,000000000E1;C;
1,701701702E0;1,723078019E1;1,688986549E0;5,100000000E1;C;
1,735068402E0;1,723078019E1;1,688986549E0;5,200000000E1;C;
1,768435102E0;1,723078019E1;1,688986549E0;5,300000000E1;C;
1,801801802E0;1,723078019E1;1,688986549E0;5,400000000E1;C;
