t;x;y;frame;Feeder;Comments
0,000000000E0;1,833432911E1;1,575192945E0;0,000000000E0;C;
3,336670003E-2;1,846184613E1;1,575192945E0;1,000000000E0;C;
6,673340007E-2;1,846184613E1;1,575192945E0;2,000000000E0;C;
1,001001001E-1;1,846184613E1;1,575192945E0;3,000000000E0;C;
1,334668001E-1;1,846184613E1;1,575192945E0;4,000000000E0;C;
1,668335002E-1;1,839808762E1;1,543313690E0;5,000000000E0;C;
2,002002002E-1;1,839808762E1;1,543313690E0;6,000000000E0;C;
2,335669002E-1;1,839808762E1;1,543313690E0;7,000000000E0;C;
2,669336003E-1;1,839808762E1;1,543313690E0;8,000000000E0;C;
3,003003003E-1;1,839808762E1;1,320158910E0;9,000000000E0;C;
3,336670003E-1;1,839808762E1;1,320158910E0;1,000000000E1;C;
3,670337004E-1;1,839808762E1;1,320158910E0;1,100000000E1;C;
4,004004004E-1;1,839808762E1;1,320158910E0;1,200000000E1;C;
4,337671004E-1;1,839808762E1;1,320158910E0;1,300000000E1;C;
4,671338005E-1;1,823869135E1;1,543313690E0;1,400000000E1;C;
5,005005005E-1;1,823869135E1;1,543313690E0;1,500000000E1;C;
5,338672005E-1;1,823869135E1;1,543313690E0;1,600000000E1;C;
5,672339006E-1;1,830244986E1;1,511434436E0;1,700000000E1;C;
6,006006006E-1;1,830244986E1;1,511434436E0;1,800000000E1;C;
6,339673006E-1;1,830244986E1;1,511434436E0;1,900000000E1;C;
6,673340007E-1;1,836620837E1;1,383917419E0;2,000000000E1;C;
7,007007007E-1;1,836620837E1;1,383917419E0;2,100000000E1;C;
7,340674007E-1;1,836620837E1;1,383917419E0;2,200000000E1;C;
7,674341008E-1;1,836620837E1;1,383917419E0;2,300000000E1;C;
8,008008008E-1;1,836620837E1;1,383917419E0;2,400000000E1;C;
8,341675008E-1;1,836620837E1;1,383917419E0;2,500000000E1;C;
8,675342009E-1;1,836620837E1;1,479555182E0;2,600000000E1;C;
9,009009009E-1;1,836620837E1;1,479555182E0;2,700000000E1;C;
9,342676009E-1;1,836620837E1;1,479555182E0;2,800000000E1;C;
9,676343010E-1;1,836620837E1;1,479555182E0;2,900000000E1;C;
1,001001001E0;1,833432911E1;1,447675927E0;3,000000000E1;C;
1,034367701E0;1,833432911E1;1,447675927E0;3,100000000E1;C;
1,067734401E0;1,833432911E1;1,447675927E0;3,200000000E1;C;
1,101101101E0;1,820681209E1;1,702709962E0;3,300000000E1;C;
1,134467801E0;1,820681209E1;1,702709962E0;3,400000000E1;C;
1,167834501E0;1,820681209E1;1,702709962E0;3,500000000E1;C;
1,201201201E0;1,820681209E1;1,702709962E0;3,600000000E1;C;
1,234567901E0;1,820681209E1;1,702709962E0;3,700000000E1;C;
1,267934601E0;1,820681209E1;1,702709962E0;3,800000000E1;C;
1,301301301E0;1,820681209E1;1,702709962E0;3,900000000E1;C;
1,334668001E0;1,820681209E1;1,702709962E0;4,000000000E1;C;
1,368034701E0;1,807929508E1;1,670830708E0;4,100000000E1;C;
1,401401401E0;1,807929508E1;1,670830708E0;4,200000000E1;C;
1,434768101E0;1,807929508E1;1,670830708E0;4,300000000E1;C;
1,468134801E0;1,807929508E1;1,670830708E0;4,400000000E1;C;
1,501501502E0;1,807929508E1;1,670830708E0;4,500000000E1;C;
1,534868202E0;1,807929508E1;1,670830708E0;4,600000000E1;C;
